"Text";"Id"
"RT @KATADATAcoid: Pasangan suami istri ditangkap karena melakukan penipuan penjualan tiket konser Coldplay.

Modus tersangka yaitu membeli…";"1660958252023300096"
"RT @asumsico: Menteri Pariwisata dan Ekonomi Kreatif Sandiaga Uno buka suara terkait kritik Majelis Ulama Indonesia (MUI) terhadap kedatang…";"1660958228086390784"
"RT @yangmi3prnew: Polemik PA 212 Tolak Konser Coldplay Makin Panas, Mahfud MD: LGBT Itu Kodrat... 

https://t.co/uGUMo7mTWt";"1660958225930539008"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660958171907919873"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660958166438531072"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660958015783342080"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660957938935275520"
"@breadfitt Nanggung klo smpe konser Coldplay mah.
Mendingan sampe kiamat di GBK ??";"1660957900477726721"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660957899554967554"
"Keinginan buat nonton konser Coldplay (lagi) setelah nonton film dokumenter A Head Full of Dreams ??????

Stream di @primevideoid https://t.co/DzHz5Zi3Fs";"1660957894618279936"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660957845591035909"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660957838683021312"
"@BlueNeo81 Pencabulan sesama genk tdk ada uangnya.
Klo konser Coldplay panitia tinggal suwon semua beres";"1660957792562479104"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660957770093559810"
"RT @kompascom: Polda Metro Jaya menangkap dua orang penipu bermodus jasa titip (jastip) pembelian tiket konser band Coldplay. / #Coldplay #…";"1660957718197469185"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660957703253139457"
"RT @AGENDA21_EXPOSE: Keren!!
Malaysia Tolak Konser Coldplay
https://t.co/LpaZGhrsea
@_Banyoe @StopPlandemit @TedInvestigasi @AriesTruss @AX…";"1660957659674312704"
"RT @AGENDA21_EXPOSE: Keren!!
Malaysia Tolak Konser Coldplay
https://t.co/LpaZGhrsea
@_Banyoe @StopPlandemit @TedInvestigasi @AriesTruss @AX…";"1660957571287744515"
"RT @justlikeaegi99: ? SCAMMER TIKET KONSER SUGA AGUST D COLDPLAY ?

Hati2 sama yang mau beli tiket konser sama scammer satu ini: 

Nama: Fi…";"1660957556448296961"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660957396364324865"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660957245511962624"
"RT @yangmi3prnew: Mahfud MD Sarankan Anak Muda Nonton Konser Coldplay, Meski Kena Ancam Novel Bamukmin PA 212: Ndak Usah Takut 

https://t.…";"1660957214079881217"
"RT @IdTrimurti: #JamIstirahat 
Tentang konser Coldplay dan bagaimana hubungannya dengan kondisi kelas pekerja.

Tulisan ini bukan untuk mel…";"1660957148208320512"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660957102356168704"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660957078746451969"
"RT @amourbie: ??Penipuan Tiket Konser COLDPLAY
a/n Gilang Purnama dan Tania Widya Agustina

Kronologi: 
Aku & temen temen ikut war tiket co…";"1660957016360390657"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660957011641798656"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660956956797079559"
"@sosmedkeras Nah, yg gini ini cc-in ke akun nya Novel Bamukmin aja gih. Musuhnya nyata nih didepan mata. Drpda dia dan orang2 dia ngerecoki konser Coldplay.
Ky nya seru, pasukan Novel Bamukmin vs pasukan pelangi.";"1660956845966786560"
"RT @mazzini_gsp: 'Awalnya (Korban Penipuan Tiket Konser Coldplay) hanya 14 orang, kemudian bertambah menjadi 60 orang dengan nilai kerugian…";"1660956827046273029"
