,text_clean,text_preprocessed
364,rencananya ustaz derry sulaiman yang bakal datang ke konser coldplay mau nonton,"['rencana', 'ustaz', 'derry', 'sulaiman', 'konser', 'coldplay', 'nonton']"
365,ginjal kiri untuk konser coldplay ginjal kanan untuk ketemu bang messi,"['ginjal', 'kiri', 'konser', 'coldplay', 'ginjal', 'kanan', 'ketemu', 'bang', 'messi']"
366,ada gak sih orang yg kelebihan beli tiket konser coldplay klo bisa sih yg kelebihan beli  tiket gak mau beli kok cuma nanya doang,"['gak', 'sih', 'orang', 'yg', 'lebih', 'beli', 'tiket', 'konser', 'coldplay', 'klo', 'sih', 'yg', 'lebih', 'beli', 'tiket', 'gak', 'beli', 'nanya', 'doang']"
367,kuli panggul cantik   penikmat konser coldplay kena tipu   saksikan beritanya di apa kabar indonesia siang bersama venna kintan  tiara harahap pukul  wib hanya di tvone  live streaming di,"['kuli', 'panggul', 'cantik', 'nikmat', 'konser', 'coldplay', 'kena', 'tipu', 'saksi', 'berita', 'kabar', 'indonesia', 'siang', 'venna', 'kintan', 'tiara', 'harahap', 'wib', 'tvone', 'live', 'streaming']"
368,mui tidak melarang konser coldplay,"['mui', 'larang', 'konser', 'coldplay']"
369,jadi pengen dateng ke konser coldplay buat ngetawain calo banting harga tiket gak laku,"['ken', 'dateng', 'konser', 'coldplay', 'ngetawain', 'calo', 'banting', 'harga', 'tiket', 'gak', 'laku']"
370,pa  tolak konser coldplay klo konser tetap berjalan berarti kegagalan indonesia jadi tuan rumah pildun u itu murni kesalahan ganjar dan pdip,"['pa', 'tolak', 'konser', 'coldplay', 'klo', 'konser', 'jalan', 'gagal', 'indonesia', 'tuan', 'rumah', 'pildun', 'u', 'murni', 'salah', 'ganjar', 'pdip']"
371,inspirasi ootd nonton konser coldplay ala anastasia siantar,"['inspirasi', 'ootd', 'nonton', 'konser', 'coldplay', 'ala', 'anastasia', 'siantar']"
372,al sudah punya  tiket coldplay di london,"['al', 'tiket', 'coldplay', 'london']"
373,fans sejati  seorang penggemar coldplay bernama danar  menjual barangbarangnya untuk membeli tiket termahal konser gr,"['fans', 'sejati', 'gemar', 'coldplay', 'nama', 'danar', 'jual', 'barangbarangnya', 'beli', 'tiket', 'mahal', 'konser', 'gr']"
